,svc with,Recall,Precision,F1 Score,Accuracy
0,Baseline,0.5,0.8333333333333334,0.625,0.9879518072289156
1,Random Oversampling,1.0,0.45454545454545453,0.625,0.9759036144578314
2,SMOTE + Tomek,0.9,0.2903225806451613,0.43902439024390244,0.9538152610441767
3,Class weights,1.0,0.1694915254237288,0.2898550724637681,0.9016064257028112
