,qboost with,Recall,Precision,F1 Score,Accuracy
0,Baseline,0.6,0.6,0.6,0.9839357429718876
1,Random Oversampling,0.8,0.6666666666666666,0.7272727272727273,0.9879518072289156
2,SMOTE + Tomek,1.0,0.5555555555555556,0.7142857142857143,0.9839357429718876
