,qsvc with,Recall,Precision,F1 Score,Accuracy
0,Baseline,0.6,0.8571428571428571,0.7058823529411765,0.9899598393574297
1,Random Oversampling,0.8,0.47058823529411764,0.5925925925925926,0.9779116465863453
2,SMOTE + Tomek,0.8,0.42105263157894735,0.5517241379310345,0.9738955823293173
3,Class weights,1.0,0.7142857142857143,0.8333333333333334,0.9919678714859438
